instance_name,stretch_index,lower_bound
jupiter/graph_142.txt,3,3
jupiter/graph_144.txt,3,2
jupiter/graph_145.txt,3,2
jupiter/graph_147.txt,3,2
jupiter/graph_150.txt,2,2
jupiter/graph_152.txt,3,3
jupiter/graph_153.txt,2,2
jupiter/graph_154.txt,3,2
jupiter/graph_157.txt,3,2
jupiter/graph_159.txt,3,2
jupiter/graph_160.txt,3,2
jupiter/graph_161.txt,2,2
jupiter/graph_164.txt,3,3
jupiter/graph_166.txt,3,2
jupiter/graph_167.txt,3,2
jupiter/graph_169.txt,3,2
jupiter/graph_170.txt,3,2
jupiter/graph_172.txt,3,2
jupiter/graph_173.txt,3,3
jupiter/graph_174.txt,2,2
jupiter/graph_176.txt,3,2
jupiter/graph_177.txt,2,2
jupiter/graph_178.txt,3,2
jupiter/graph_179.txt,3,2
jupiter/graph_182.txt,3,3
jupiter/graph_212.txt,3,2
jupiter/graph_217.txt,3,2
jupiter/graph_227.txt,2,2
jupiter/graph_229.txt,3,2
jupiter/graph_233.txt,3,2
jupiter/graph_237.txt,3,3
jupiter/graph_241.txt,3,2
jupiter/graph_244.txt,3,2
jupiter/graph_255.txt,3,3
jupiter/graph_260.txt,3,2
jupiter/graph_266.txt,3,2
jupiter/graph_271.txt,3,2
jupiter/graph_279.txt,3,2
jupiter/graph_285.txt,3,3
jupiter/graph_288.txt,3,2
jupiter/graph_293.txt,3,2
jupiter/graph_297.txt,2,2
jupiter/graph_298.txt,3,3
jupiter/graph_311.txt,3,3
jupiter/graph_316.txt,3,2
jupiter/graph_318.txt,3,2
jupiter/graph_319.txt,3,2
jupiter/graph_321.txt,3,3
jupiter/graph_332.txt,3,2
jupiter/graph_336.txt,3,3
jupiter/graph_345.txt,3,2
jupiter/graph_356.txt,3,3
jupiter/graph_367.txt,3,2
jupiter/graph_368.txt,3,2
jupiter/graph_408.txt,3,2
jupiter/graph_409.txt,3,2
jupiter/graph_412.txt,3,2
jupiter/graph_418.txt,3,2
jupiter/graph_435.txt,3,3
jupiter/graph_442.txt,3,2
jupiter/graph_445.txt,3,2
jupiter/graph_447.txt,3,2
jupiter/graph_448.txt,3,2
jupiter/graph_476.txt,3,2
jupiter/graph_483.txt,3,3
jupiter/graph_485.txt,3,2
jupiter/graph_505.txt,3,2
jupiter/graph_506.txt,3,3
jupiter/graph_508.txt,3,2
jupiter/graph_521.txt,3,3
jupiter/graph_528.txt,3,3
jupiter/graph_529.txt,3,2
jupiter/graph_532.txt,3,3
jupiter/graph_539.txt,3,2
jupiter/graph_544.txt,3,2
jupiter/graph_551.txt,3,2
jupiter/graph_555.txt,3,2
jupiter/graph_557.txt,3,2
jupiter/graph_558.txt,3,2
jupiter/graph_559.txt,3,2
jupiter/graph_562.txt,3,2
jupiter/graph_566.txt,3,2
jupiter/graph_571.txt,3,2
jupiter/graph_593.txt,3,2
jupiter/graph_598.txt,3,2
jupiter/graph_604.txt,3,3
jupiter/graph_606.txt,3,2
jupiter/graph_609.txt,3,2
jupiter/graph_611.txt,3,2
jupiter/graph_612.txt,3,2
jupiter/graph_613.txt,3,2
jupiter/graph_616.txt,3,2
jupiter/graph_617.txt,3,3
jupiter/graph_621.txt,3,2
jupiter/graph_622.txt,2,2
jupiter/graph_624.txt,3,3
jupiter/graph_625.txt,3,2
jupiter/graph_626.txt,3,2
jupiter/graph_628.txt,3,2
jupiter/graph_633.txt,3,3
jupiter/graph_637.txt,3,2
jupiter/graph_641.txt,3,2
jupiter/graph_646.txt,3,2
jupiter/graph_647.txt,3,2
jupiter/graph_648.txt,3,2
jupiter/graph_651.txt,3,3
